City,Latitude,Longitude
Manching,48.7171356,11.4940685
Karben,50.2313417,8.7717673
Baden-Baden,48.7610716,8.239959
Dubai,25.0742823,55.1885387
Miltenberg,49.7017584,9.2559718
Wetter,51.3879463,7.3951553
Garbsen,52.4276606,9.6005102
Kirchheim bei München,48.1806379,11.7529851
Odelzhausen,48.3098033,11.2005519
Urbach,50.5599577,7.5866405
Schönwald,49.9113999,16.7107615
Altlandsberg,52.5936006,13.7760013
Hopfen am See,47.6083038,10.6773587
Schwäbisch Gmünd,48.7999036,9.7977584
Boppard,50.2312823,7.5885884
Wertheim,49.7599825,9.5166598
Sindelfingen,48.7084162,9.0035455
Rosbach vor der Höhe,50.2990872,8.6967275
Neuenrade,51.2831254,7.7830374
Hagenow,53.4305796,11.1904828
Kaufbeuren,47.8803788,10.622246
Osterhofen,48.7019635,13.0201434
Rotenburg an der Fulda,51.018118,9.7487639
Hofheim am Taunus,50.09494,8.42285
Krumbach,48.2430587,10.3631004
Bretten,47.7013731,7.0684157
Langenbach,49.4932546,7.3291716
Stadecken-Elsheim,49.9130616,8.128117
Oerlinghausen,51.9492295,8.673579
Lampertheim,48.6503574,7.7003567
Steinau an der Straße,50.3556,9.4227
Wolfhagen,51.3333355,9.1968854
Plauen,50.4950632,12.1346523
Sulzbach,48.0356915,7.2011423
Herzberg,51.6565219,10.3428415
Biberach,48.0984413,9.7899938
Schmallenberg,51.1525937,8.2836014
Gelsenkirchen,51.5110321,7.0960124
Verden,49.1589278,5.3867277
Salzgitter,52.1503721,10.3593147
Isernhagen,52.4526275,9.8602096
Schonach im Schwarzwald,48.1427148,8.1974937
Kobyłka,52.3387086,21.1965315
Erkelenz,51.080992,6.3160684
